序号,分组,检索名称,Topics,检索条件,说明
1,A01_贷款与债权,金融借款合同纠纷,S03,s15=9178,银行信贷核心案由
2,A01_贷款与债权,金融不良债权转让合同纠纷,S03/S10,s15=9183,
3,A01_贷款与债权,金融不良债权追偿纠纷,S03/S10,s15=9184,
4,A01_贷款与债权,银行借款合同纠纷（补充）,S03,s14=9177 AND s21=银行,补充未落入金融借款子案由的银行借款文书
5,A01_贷款与债权,银行融资租赁合同纠纷,S03,s14=9199 AND s21=银行,
6,A02_账户存款与结算,储蓄存款合同纠纷,S01,s14=9190,
7,A02_账户存款与结算,银行结算合同纠纷,S01/S06,s15=9287,
8,A03_银行卡,银行卡纠纷,S02/S06,s14=9191,
9,A03_银行卡,借记卡纠纷,S02/S06,s15=9192,
10,A03_银行卡,信用卡纠纷,S02/S07/S10,s15=9193,
11,A04_担保与担保物权,银行保证合同纠纷,S04,s14=9185 AND s21=银行,
12,A04_担保与担保物权,银行抵押合同纠纷,S04,s14=9186 AND s21=银行,
13,A04_担保与担保物权,银行质押合同纠纷,S04,s14=9187 AND s21=银行,
14,A04_担保与担保物权,银行担保物权确认纠纷,S04,s15=9055 AND s21=银行,
15,A04_担保与担保物权,银行抵押权纠纷,S04,s14=9102 AND s21=银行,
16,A04_担保与担保物权,银行质权纠纷,S04,s14=9111 AND s21=银行,
17,A04_担保与担保物权,银行申请实现担保物权案件,S04/S10,s13=9860 AND s21=银行,
18,A04_担保与担保物权,银行票据质权纠纷,S04,s15=9115 AND s21=银行,
19,A04_担保与担保物权,银行基金份额质权纠纷,S04/S09,s15=9121 AND s21=银行,
20,A05_理财代销,金融委托理财合同纠纷,S09,s15=9243,
21,A05_理财代销,银行委托理财合同纠纷（补充）,S09,s14=9242 AND s21=银行,
22,A05_理财代销,银行保险代理合同纠纷,S09/S07,s14=9683 AND s21=银行,
23,A05_理财代销,银行保证保险合同纠纷,S03/S09,s15=9675 AND s21=银行,
24,A06_票据与贸易金融,银行票据付款请求权纠纷,S03/S06,s14=9687 AND s21=银行,
25,A06_票据与贸易金融,银行票据追索权纠纷,S03/S06,s14=9688 AND s21=银行,
26,A06_票据与贸易金融,银行票据保证纠纷,S03/S06,s14=9694 AND s21=银行,
27,A06_票据与贸易金融,银行确认票据无效纠纷,S03/S06,s14=9695 AND s21=银行,
28,A06_票据与贸易金融,委托开立信用证纠纷,S03/S06,s14=9699,
29,A06_票据与贸易金融,信用证开证纠纷,S03/S06,s14=9700,
30,A06_票据与贸易金融,信用证议付纠纷,S03/S06,s14=9701,
31,A06_票据与贸易金融,信用证欺诈纠纷,S06,s14=9702,
32,A06_票据与贸易金融,信用证融资纠纷,S03,s14=9703,
33,A06_票据与贸易金融,信用证转让纠纷,S03/S06,s14=9704,
34,A06_票据与贸易金融,申请中止支付信用证项下款项,S06,s14=9810,
35,A06_票据与贸易金融,申请中止支付保函项下款项,S04/S06,s14=9811,
36,A07_银行相关刑事,骗取贷款、票据承兑、金融票证罪,S03/S06,s14=4149,
37,A07_银行相关刑事,违法向关系人发放贷款罪,S03,s14=111,
38,A07_银行相关刑事,违法发放贷款罪,S03,s14=112,
39,A07_银行相关刑事,用账外客户资金非法拆借、发放贷款罪,S03,s14=113,
40,A07_银行相关刑事,非法出具金融票证罪,S06,s14=114,
41,A07_银行相关刑事,违规出具金融票证罪,S06,s14=4166,
42,A07_银行相关刑事,对违法票据承兑、付款、保证罪,S06,s14=115,
43,A07_银行相关刑事,贷款诈骗罪,S03/S06,s14=120,
44,A07_银行相关刑事,票据诈骗罪,S06,s14=121,
45,A07_银行相关刑事,金融凭证诈骗罪,S06,s14=122,
46,A07_银行相关刑事,信用证诈骗罪,S06,s14=123,
47,A07_银行相关刑事,信用卡诈骗罪,S02/S06,s14=124,
48,A07_银行相关刑事,妨害信用卡管理罪,S02/S06,s14=4150,
49,A07_银行相关刑事,窃取、收买、非法提供信用卡信息罪,S02/S06/S08,s14=4151,
50,A07_银行相关刑事,银行非法吸收公众存款罪,S01/S06,s14=102 AND s21=银行,用银行关键词降低非银行主体噪声
51,B01_账户存款支付补漏,银行账户相关,S01,s21=银行 AND s21=账户,
52,B01_账户存款支付补漏,银行账户冻结相关,S01/S06,s21=银行 AND s21=冻结,
53,B01_账户存款支付补漏,银行止付相关,S01/S06,s21=银行 AND s21=止付,
54,B01_账户存款支付补漏,银行扣划相关,S01/S10,s21=银行 AND s21=扣划,
55,B01_账户存款支付补漏,银行挂失相关,S01/S02,s21=银行 AND s21=挂失,
56,B01_账户存款支付补漏,银行冒名开户相关,S01/S08,s21=银行 AND s21=冒名开户,
57,B01_账户存款支付补漏,银行转账相关,S01/S06,s21=银行 AND s21=转账,
58,B01_账户存款支付补漏,银行支付结算相关,S01/S06,s21=银行 AND s21=支付结算,
59,B01_账户存款支付补漏,银行存款相关,S01,s21=银行 AND s21=存款,
60,B01_账户存款支付补漏,银行结构性存款相关,S01/S09,s21=银行 AND s21=结构性存款,
61,B02_银行卡与支付补漏,银行卡盗刷相关,S02/S06,s21=银行 AND s21=盗刷,
62,B02_银行卡与支付补漏,银行ATM相关,S02/S06,s21=银行 AND s21=自动取款机,
63,B02_银行卡与支付补漏,银行短信验证码相关,S02/S06/S08,s21=银行 AND s21=短信验证码,
64,B02_银行卡与支付补漏,银行非本人交易相关,S02/S06,s21=银行 AND s21=非本人交易,
65,B02_银行卡与支付补漏,银行快捷支付相关,S02/S06,s21=银行 AND s21=快捷支付,
66,B03_信贷补漏,银行委托贷款相关,S03,s21=银行 AND s21=委托贷款,
67,B03_信贷补漏,银行保理相关,S03,s21=银行 AND s21=保理,
68,B03_信贷补漏,银行供应链金融相关,S03,s21=银行 AND s21=供应链金融,
69,B03_信贷补漏,银行银团贷款相关,S03,s21=银行 AND s21=银团贷款,
70,B03_信贷补漏,银行流动资金贷款相关,S03,s21=银行 AND s21=流动资金贷款,
71,B03_信贷补漏,银行个人贷款相关,S03,s21=银行 AND s21=个人贷款,
72,B03_信贷补漏,银行住房贷款相关,S03,s21=银行 AND s21=住房贷款,
73,B03_信贷补漏,银行消费贷款相关,S03,s21=银行 AND s21=消费贷款,
74,B04_担保补漏,银行最高额保证相关,S04,s21=银行 AND s21=最高额保证,
75,B04_担保补漏,银行最高额抵押相关,S04,s21=银行 AND s21=最高额抵押,
76,B04_担保补漏,银行保函相关,S04/S06,s21=银行 AND s21=保函,
77,B05_征信,银行征信相关,S05,s21=银行 AND s21=征信,
78,B05_征信,银行信用报告相关,S05,s21=银行 AND s21=信用报告,
79,B05_征信,银行不良记录相关,S05,s21=银行 AND s21=不良记录,
80,B05_征信,银行征信异议相关,S05,s21=银行 AND s21=征信异议,
81,B06_支付与诈骗补漏,银行电信诈骗相关,S06,s21=银行 AND s21=电信诈骗,
82,B06_支付与诈骗补漏,银行网络诈骗相关,S06,s21=银行 AND s21=网络诈骗,
83,B06_支付与诈骗补漏,银行第三方支付相关,S06,s21=银行 AND s21=第三方支付,
84,B07_金融消费者保护,银行金融消费者相关,S07,s21=银行 AND s21=金融消费者,
85,B07_金融消费者保护,银行消费者权益相关,S07,s21=银行 AND s21=消费者权益,
86,B07_金融消费者保护,银行格式条款相关,S07,s21=银行 AND s21=格式条款,
87,B07_金融消费者保护,银行告知义务相关,S07,s21=银行 AND s21=告知义务,
88,B07_金融消费者保护,银行适当性相关,S07/S09,s21=银行 AND s21=适当性,
89,B07_金融消费者保护,银行风险揭示相关,S07/S09,s21=银行 AND s21=风险揭示,
90,B07_金融消费者保护,银行销售误导相关,S07/S09,s21=银行 AND s21=销售误导,
91,B08_个人信息保护,银行个人信息相关,S08,s21=银行 AND s21=个人信息,
92,B08_个人信息保护,银行隐私相关,S08,s21=银行 AND s21=隐私,
93,B08_个人信息保护,银行信息泄露相关,S08,s21=银行 AND s21=信息泄露,
94,B08_个人信息保护,银行人脸识别相关,S08,s21=银行 AND s21=人脸识别,
95,B08_个人信息保护,银行客户信息相关,S08,s21=银行 AND s21=客户信息,
96,B09_理财与代销补漏,银行理财产品相关,S09,s21=银行 AND s21=理财产品,
97,B09_理财与代销补漏,银行基金代销相关,S09,s21=银行 AND s21=基金代销,
98,B09_理财与代销补漏,银行保险代销相关,S09,s21=银行 AND s21=保险代销,
99,B09_理财与代销补漏,银行信托代销相关,S09,s21=银行 AND s21=信托代销,
100,B09_理财与代销补漏,银行代销相关,S09,s21=银行 AND s21=代销,
101,B10_贷后与催收,银行催收相关,S10,s21=银行 AND s21=催收,
102,B10_贷后与催收,银行逾期相关,S10,s21=银行 AND s21=逾期,
103,B10_贷后与催收,银行提前到期相关,S03/S10,s21=银行 AND s21=提前到期,
104,B10_贷后与催收,银行不良债权相关,S03/S10,s21=银行 AND s21=不良债权,
105,B10_贷后与催收,银行债权转让相关,S03/S10,s21=银行 AND s21=债权转让,
106,B10_贷后与催收,银行诉讼时效相关,S10,s21=银行 AND s21=诉讼时效,
107,B11_反洗钱与KYC,银行反洗钱相关,S01/S07,s21=银行 AND s21=反洗钱,
108,B11_反洗钱与KYC,银行客户身份识别相关,S01/S07,s21=银行 AND s21=客户身份识别,
109,B11_反洗钱与KYC,银行可疑交易相关,S01/S07,s21=银行 AND s21=可疑交易,
110,B11_反洗钱与KYC,银行大额交易相关,S01/S07,s21=银行 AND s21=大额交易,
